Gruppe;Kennzahl;Wert;Bewertung
Run 93;Final Placed Rooms;11;
Run 93;Open Sockets Pre-Cap;4;
Run 93;Error Cause;None;
Run 94;Varianten-ID;Standard;
Run 94;Success / Failure;true;Success
Run 94;Gesamtdauer ms;347,863;spuerbar, aber fuer Offline-Generierung brauchbar
Run 94;Final Placed Rooms;11;
Run 94;Open Sockets Pre-Cap;4;
Run 94;Error Cause;None;
Run 95;Varianten-ID;Standard;
Run 95;Success / Failure;true;Success
Run 95;Gesamtdauer ms;258,778;spuerbar, aber fuer Offline-Generierung brauchbar
Run 95;Final Placed Rooms;11;
Run 95;Open Sockets Pre-Cap;4;
Run 95;Error Cause;None;
Run 96;Varianten-ID;Standard;
Run 96;Success / Failure;true;Success
Run 96;Gesamtdauer ms;246,191;unproblematisch
Run 96;Final Placed Rooms;11;
Run 96;Open Sockets Pre-Cap;4;
Run 96;Error Cause;None;
Run 97;Varianten-ID;Standard;
Run 97;Success / Failure;true;Success
Run 97;Gesamtdauer ms;72,722;unproblematisch
Run 97;Final Placed Rooms;11;
Run 97;Open Sockets Pre-Cap;4;
Run 97;Error Cause;None;
Run 98;Varianten-ID;Standard;
Run 98;Success / Failure;true;Success
Run 98;Gesamtdauer ms;186,962;unproblematisch
Run 98;Final Placed Rooms;21;
Run 98;Open Sockets Pre-Cap;11;
Run 98;Error Cause;None;
Run 99;Varianten-ID;Standard;
Run 99;Success / Failure;true;Success
Run 99;Gesamtdauer ms;252,437;spuerbar, aber fuer Offline-Generierung brauchbar
Run 99;Final Placed Rooms;18;
Run 99;Open Sockets Pre-Cap;7;
Run 99;Error Cause;None;
Run 100;Varianten-ID;Standard;
Run 100;Success / Failure;true;Success
Run 100;Gesamtdauer ms;1080,297;teuer, Performance pruefen
Run 100;Final Placed Rooms;17;
Run 100;Open Sockets Pre-Cap;7;
Run 100;Error Cause;None;
Run 101;Varianten-ID;Standard;
Run 101;Success / Failure;true;Success
Run 101;Gesamtdauer ms;1031,755;teuer, Performance pruefen
